Date,description,amt,balance
31-May-2026,OPENING BALANCE,,113916.67
04-Jun-2026,DEPOSIT HARTWELL GROUP INV-2225,8497.0,122413.67
05-Jun-2026,CHECK #1013 HARBORSTONE REALTY,-11672.0,110741.67
06-Jun-2026,DEPOSIT UNDERHILL LO,26479.0,137220.67
12-Jun-2026,INCOMING WIRE - MEMBER CONTRIBUTION,7622.0,144842.67
15-Jun-2026,PAYROLL ACH BATCH,-44375.0,100467.67
21-Jun-2026,CHECK #1018 MERIDIAN LEGAL,-18430.09,82037.58
22-Jun-2026,CHECK #1016 CLEARBYTE CL,-1447.0,80590.58
24-Jun-2026,CHECK #1020 STANTON CLEA,-5886.0,74704.58
27-Jun-2026,SERVICE FEE,-38.98,74665.6
28-Jun-2026,CHECK #1021 STACKLINE SA,-7214.0,67451.6
28-Jun-2026,WIRE FEE,-53.69,67397.91
30-Jun-2026,INTEREST CREDIT,18.77,67416.68
30-Jun-2026,ENDING BALANCE,,67416.68
