date,Account,dr,Credit,memo
04/01/2026,1000 Cash,150362.09,,Opening balances
04/01/2026,1300 Prepaid Insurance,1674.0,,Opening balances
04/01/2026,1500 Equipment,159464.0,,Opening balances
04/01/2026,1590 Accumulated Depreciation,,18604.11,Opening balances
04/01/2026,2000 Accounts Payable,,14877.84,Opening balances
04/01/2026,3000 Retained Earnings,,278018.14,Opening balances
04/03/2026,1000 Cash,,5660.0,Rent - Amberfield Property Group
04/03/2026,6100 Rent Expense,5660.0,,Rent - Amberfield Property Group
04/05/2026,2000 Accounts Payable,,4480.0,BILL-3144 Delta Facility Services
04/05/2026,6700 Office Supplies,4480.0,,BILL-3144 Delta Facility Services
04/06/2026,1000 Cash,,7438.92,Payment on account - opening payables
04/06/2026,2000 Accounts Payable,7438.92,,Payment on account - opening payables
04/07/2026,1100 Accounts Receivable,9538.0,,Invoice INV-2227 - Wexford Group
04/07/2026,4100 Professional Services Revenue,,9538.0,Invoice INV-2227 - Wexford Group
04/12/2026,1100 Accounts Receivable,16087.0,,Invoice INV-2224 - Hartwell Group
04/12/2026,4000 Subscription Revenue,,16087.0,Invoice INV-2224 - Hartwell Group
04/15/2026,2000 Accounts Payable,,1692.0,BILL-3143 Helix IT Solutions
04/15/2026,6450 Software Expense,1692.0,,BILL-3143 Helix IT Solutions
04/15/2026,1000 Cash,,18915.0,Payroll 2026-04/01-04/15
04/15/2026,2300 Payroll Liabilities,,5335.0,Payroll 2026-04/01-04/15
04/15/2026,6000 Salaries Expense,24250.0,,Payroll 2026-04/01-04/15
04/19/2026,2000 Accounts Payable,,4068.0,BILL-3142 Meridian Legal LLP
04/19/2026,6600 Professional Fees,4068.0,,BILL-3142 Meridian Legal LLP
04/20/2026,1100 Accounts Receivable,6745.0,,Invoice INV-2225 - Jasper Analytics
04/20/2026,4100 Professional Services Revenue,,6745.0,Invoice INV-2225 - Jasper Analytics
04/21/2026,1000 Cash,9538.0,,Deposit - Wexford Group INV-2227
04/21/2026,1100 Accounts Receivable,,9538.0,Deposit - Wexford Group INV-2227
04/21/2026,2000 Accounts Payable,,3888.0,BILL-3141 Ridgeline Telecom
04/21/2026,6500 Utilities Expense,3888.0,,BILL-3141 Ridgeline Telecom
04/22/2026,1100 Accounts Receivable,9433.0,,Invoice INV-2226 - Eastgate Collective
04/22/2026,4000 Subscription Revenue,,9433.0,Invoice INV-2226 - Eastgate Collective
04/23/2026,1000 Cash,,4068.0,Pay BILL-3142 Meridian Legal LLP CHK#1003
04/23/2026,2000 Accounts Payable,4068.0,,Pay BILL-3142 Meridian Legal LLP CHK#1003
04/28/2026,1000 Cash,,3888.0,Pay BILL-3141 Ridgeline Telecom CHK#1004
04/28/2026,2000 Accounts Payable,3888.0,,Pay BILL-3141 Ridgeline Telecom CHK#1004
04/28/2026,1000 Cash,,18876.0,Payroll 2026-04/16-04/30
